Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
425,2022,2,2,17,82900,16,55,0,48,1
262,2021,2,2,22,1250000,10,27,100,25,2
499,2022,0,2,22,66500,2,8,100,6,0
297,2022,3,2,12,84900,16,55,100,48,1
150,2021,3,2,25,168000,16,32,0,29,2
266,2021,2,2,17,93150,16,55,0,48,1
524,2022,2,2,22,135000,16,55,100,48,0
536,2022,3,2,12,112900,16,55,100,48,1
38,2020,0,2,12,10000,16,39,100,36,2
437,2022,2,2,17,80000,7,21,100,19,1
307,2022,2,2,12,106260,16,55,0,48,1
198,2021,3,2,21,4000000,10,27,50,48,0
523,2022,3,2,14,405000,16,55,100,48,0
497,2022,3,2,22,165000,16,55,100,48,1
146,2021,2,2,48,53000,7,19,50,17,1
477,2022,3,2,38,220000,16,55,100,48,1
538,2022,2,2,22,141300,16,55,0,48,1
147,2021,2,2,17,90000,16,55,100,48,0
426,2022,3,2,17,100800,16,55,100,48,0
348,2022,3,2,17,113000,16,55,0,48,0
325,2022,3,2,12,124190,16,55,100,48,1
483,2022,1,2,17,216000,16,55,100,48,1
123,2021,0,2,3,80000,8,20,0,18,0
576,2022,3,2,22,210000,16,55,100,48,1
96,2021,0,3,1,12000,16,7,100,48,2
143,2021,2,2,22,82500,16,55,100,48,2
239,2021,0,2,17,1600000,10,27,50,25,1
381,2022,3,2,17,101570,16,55,100,48,1
97,2021,2,2,28,450000,16,55,100,48,0
371,2022,3,2,38,189650,16,55,0,48,1
324,2022,3,2,22,120000,16,55,0,48,0
279,2021,0,2,8,50000,7,34,100,31,0
293,2022,2,2,22,90000,16,55,0,48,1
568,2022,3,2,12,80000,16,55,100,48,1
122,2021,0,2,12,50000,16,55,100,48,1
183,2021,3,2,27,45000,8,20,50,18,0
202,2021,2,2,22,32000,7,18,100,16,0
323,2022,3,2,22,180000,16,55,0,48,0
246,2021,0,2,22,31000,7,19,50,17,0
424,2022,3,2,22,80000,16,55,0,48,1
412,2022,2,2,17,60000,7,21,100,19,1
485,2022,3,2,38,120000,16,55,100,48,1
416,2022,3,2,22,260000,16,55,100,48,1
535,2022,3,2,16,213120,16,55,100,48,1
394,2022,3,2,15,145000,16,55,100,48,1
125,2021,2,2,46,151000,16,55,100,48,0
432,2022,2,2,17,80000,7,18,100,16,1
419,2022,2,2,41,160000,16,55,100,48,0
223,2021,2,2,22,40900,8,20,50,18,0
342,2022,1,2,30,224000,16,55,100,48,1
53,2020,0,2,17,48000,7,43,100,12,0
219,2021,3,2,15,140000,16,55,100,48,0
129,2021,3,2,34,3000000,10,27,50,25,0
549,2022,3,2,17,160000,16,55,100,48,1
399,2022,3,2,22,158200,16,55,100,48,0
556,2022,3,2,17,145000,16,55,100,48,1
551,2022,3,2,22,140400,16,55,0,48,0
545,2022,3,2,17,115000,16,55,100,48,1
589,2022,3,2,12,60000,16,55,100,48,1
408,2022,2,2,12,40000,8,20,100,18,1
386,2022,0,2,38,28500,8,20,100,18,0
587,2022,3,2,22,140000,16,55,100,48,1
294,2022,2,2,17,170000,16,55,100,48,1
554,2022,3,2,17,200100,16,55,100,48,1
468,2022,3,2,17,100000,16,55,100,48,1
421,2022,2,2,21,241000,16,55,100,48,1
112,2021,3,2,33,75000,8,20,100,18,2
179,2021,2,2,22,420000,10,27,100,48,2
555,2022,3,2,17,160000,16,55,100,48,1
467,2022,3,2,22,104890,16,55,100,48,1
456,2022,3,2,17,105000,16,55,100,48,1
373,2022,2,2,26,50000,7,21,0,19,1
314,2022,2,2,17,40000,8,20,0,18,1
151,2021,2,2,22,150000,16,55,100,48,1
526,2022,2,2,22,78000,16,55,100,48,1
233,2021,3,2,12,200000,16,55,100,48,0
306,2022,3,2,12,116000,16,55,0,48,1
433,2022,2,2,17,70000,7,18,100,16,1
164,2021,1,2,25,110000,7,14,50,12,1
317,2022,3,2,22,120160,16,55,100,48,1
136,2021,2,2,36,7000000,11,32,50,29,2
410,2022,2,2,22,55000,8,20,0,18,1
197,2021,3,2,38,1799997,10,27,100,25,0
482,2022,1,2,17,324000,16,55,100,48,1
258,2021,3,2,38,185000,16,55,50,48,0
232,2021,3,2,24,200000,16,55,100,48,0
115,2021,0,2,41,225000,16,55,100,48,0
120,2021,2,2,7,60000,16,18,50,42,1
481,2022,3,2,38,65000,16,0,100,0,2
376,2022,3,2,12,132000,16,55,0,48,1
384,2022,1,2,31,6000000,10,27,50,25,0
224,2021,3,2,41,225000,16,55,100,6,0
574,2022,3,2,22,210000,16,55,100,48,1
463,2022,0,2,22,1400000,10,27,100,25,1
347,2022,3,2,22,95550,16,55,0,48,1
127,2021,2,2,22,700000,10,27,0,25,2
597,2022,3,2,12,170000,16,55,100,48,1
285,2021,3,2,21,7000000,10,27,50,25,0
559,2022,3,2,22,140400,16,55,0,48,1
43,2020,2,2,17,106000,16,55,100,48,0
107,2021,3,2,17,115000,16,55,100,48,2
512,2022,0,2,17,65000,16,55,100,48,2
451,2022,2,2,37,100000,2,8,100,6,1
133,2021,3,2,10,24000,16,7,100,5,1
440,2022,2,2,12,40000,7,21,100,19,1
570,2022,3,2,22,210000,16,55,100,48,1
44,2020,2,2,17,88000,8,20,50,18,0
169,2021,2,2,16,150000,16,55,100,48,0
65,2020,0,2,22,55000,7,14,50,12,2
283,2021,3,0,49,105000,16,55,100,48,1
85,2021,2,2,17,110000,13,44,100,40,0
242,2021,2,2,17,110000,16,55,100,48,0
186,2021,3,2,13,50000,16,56,100,18,1
326,2022,1,2,12,130000,16,55,100,48,1
159,2021,0,2,38,125000,16,55,100,48,2
12,2020,0,2,22,35000,7,19,0,17,1
35,2020,2,2,17,65000,7,2,50,2,0
28,2020,0,0,8,100000,16,55,100,48,0
170,2021,2,2,16,170000,16,55,100,48,0
142,2021,3,2,18,150000,16,55,0,48,0
236,2021,2,2,48,80000,2,8,100,6,1
470,2022,2,2,12,135000,16,55,100,48,1
503,2022,2,2,38,121000,0,3,100,3,0
221,2021,2,2,22,85000,8,20,50,18,0
550,2022,3,2,22,205300,16,55,0,48,0
95,2021,2,2,9,120000,14,50,50,44,0
51,2020,0,2,12,91000,16,55,100,48,0
240,2021,3,2,22,130000,2,8,100,6,0
514,2022,0,2,13,20000,16,43,0,39,1
351,2022,3,2,21,137141,16,55,100,48,1
522,2022,2,2,12,20000,16,21,100,19,2
178,2021,0,2,38,81000,16,55,50,48,2
460,2022,2,2,39,53000,7,46,50,41,0
532,2022,3,2,38,214000,16,55,100,48,1
41,2020,1,2,18,70000,7,18,50,16,0
579,2022,3,2,17,25000,16,55,100,48,1
528,2022,3,2,12,100000,16,55,100,48,1
206,2021,3,2,38,200000,16,55,100,48,0
392,2022,3,2,12,112900,16,55,100,48,1
282,2021,2,3,17,59000,7,40,100,37,0
358,2022,3,2,16,192400,16,8,100,6,1
397,2022,2,2,17,90000,8,20,0,18,1
254,2021,2,2,12,93000,16,55,100,48,0
217,2021,2,2,22,76760,7,14,50,12,0
4,2020,3,2,38,150000,16,55,50,48,0
256,2021,2,2,17,200000,16,55,100,48,0
569,2022,3,2,22,140000,16,55,100,48,1
539,2022,2,2,22,102100,16,55,0,48,1
430,2022,2,2,12,40000,7,18,100,16,1
100,2021,2,2,12,75000,16,55,0,48,0
226,2021,3,2,22,110000,2,8,100,6,2
448,2022,3,2,17,180000,16,55,100,48,1
553,2022,3,2,22,144000,16,55,100,48,1
578,2022,3,2,17,100000,16,55,100,48,1
213,2021,0,2,7,435000,10,27,0,7,0
359,2022,3,2,16,90700,16,8,100,6,1
171,2021,2,2,17,60000,8,20,100,18,0
98,2021,0,2,11,70000,16,55,100,48,1
292,2022,2,2,22,130000,16,55,0,48,1
215,2021,3,2,45,185000,16,55,100,48,0
61,2020,2,2,17,130800,16,18,100,48,1
406,2022,2,2,12,58000,16,55,0,48,2
502,2022,0,2,22,40000,16,32,100,35,0
47,2020,3,2,17,188000,16,55,100,48,0
32,2020,3,2,22,60000,7,21,100,48,0
417,2022,3,2,20,60000,16,1,100,34,0
267,2021,2,2,17,111775,16,55,0,48,1
327,2022,1,2,12,110000,16,55,100,48,1
200,2021,2,2,22,52000,7,14,50,2,1
134,2021,0,2,22,100000,16,55,0,48,2
27,2020,3,2,17,720000,12,37,0,34,2
530,2022,2,2,12,85000,16,8,0,6,1
230,2021,0,2,7,1200000,10,27,100,25,0
489,2022,0,0,4,29000,7,52,100,11,1
378,2022,3,2,16,208775,16,55,100,48,1
288,2021,2,2,38,43200,7,30,50,28,0
418,2022,2,2,17,63900,16,55,0,48,1
391,2022,2,2,1,120000,16,55,0,48,1
498,2022,3,2,48,85000,7,19,50,17,0
138,2021,3,2,46,220000,16,55,0,48,0
62,2020,0,3,22,19000,7,30,50,28,2
471,2022,2,2,12,50000,16,55,100,48,1
128,2021,0,2,38,20000,16,27,100,25,2
590,2022,3,2,16,192564,16,55,100,48,1
520,2022,2,2,22,88000,2,8,100,6,1
64,2020,3,2,38,40000,7,24,100,21,2
14,2020,2,2,12,85000,16,55,100,48,0
156,2021,2,2,22,160000,14,50,100,24,1
40,2020,2,2,22,45760,16,42,100,48,2
492,2022,2,2,22,150000,13,44,100,40,0
379,2022,3,2,16,147800,16,55,100,48,1
187,2021,1,2,19,59000,7,19,100,16,2
216,2021,0,3,10,180000,6,15,50,13,2
52,2020,0,2,1,300000,6,15,50,13,2
337,2022,3,2,17,243900,16,55,100,48,1
295,2022,2,2,17,150000,16,55,100,48,1
251,2021,0,2,22,90000,16,55,100,48,2
461,2022,0,2,28,100000,16,55,50,48,0
455,2022,2,2,43,240000,5,55,50,48,0
604,2022,3,2,12,129000,16,55,0,48,1
269,2021,0,2,17,55000,7,14,50,12,1
201,2021,3,2,39,195000,16,55,100,48,1
161,2021,1,2,30,85000,16,49,0,43,1
401,2022,3,2,17,154600,16,55,100,48,0
476,2022,3,2,22,185100,16,55,100,48,1
105,2021,2,2,12,37456,8,20,50,18,0
389,2022,2,2,38,95000,8,20,0,18,1
1,2020,3,2,41,260000,16,32,0,29,2
564,2022,3,2,12,116150,16,55,100,48,1
80,2021,3,2,13,67000,7,14,100,12,0
205,2021,2,2,22,69600,1,7,0,5,2
34,2020,2,2,12,41000,7,19,50,17,0
508,2022,0,2,48,120000,16,55,100,48,0
427,2022,2,2,17,45000,7,18,100,16,1
454,2022,0,2,10,125000,16,55,0,48,1
366,2022,3,2,17,136000,16,55,0,48,1
91,2021,0,2,19,65000,7,14,100,12,2
339,2022,3,2,12,109280,16,55,100,48,1
345,2022,3,2,17,156600,16,55,100,48,1
241,2021,2,2,12,80000,16,55,100,48,0
13,2020,2,2,32,87000,16,55,100,48,0
315,2022,3,2,22,165220,16,55,100,48,1
387,2022,3,2,12,164000,16,55,0,48,1
273,2021,0,2,38,85000,16,40,100,12,2
166,2021,0,2,17,80000,16,55,100,48,0
601,2022,0,2,12,52000,16,8,0,6,1
484,2022,3,2,17,210000,16,55,100,48,1
592,2022,3,2,22,230000,16,55,100,48,1
504,2022,3,2,17,115000,16,55,100,48,1
243,2021,3,2,22,165000,16,55,100,48,0
566,2022,3,2,12,170000,16,55,100,48,1
562,2022,3,2,17,175100,16,55,100,48,1
189,2021,2,2,38,74000,16,32,50,29,2
475,2022,2,2,22,70000,8,20,0,18,1
510,2022,0,2,11,150000,16,3,100,3,2
58,2020,3,2,22,120000,16,55,50,48,0
474,2022,2,2,22,140000,8,20,0,18,1
560,2022,3,2,2,205300,16,55,0,48,1
252,2021,1,2,45,600000,16,55,100,48,0
21,2020,2,2,47,450000,10,27,100,25,0
313,2022,2,2,17,60000,8,20,0,18,1
459,2022,2,2,22,2400000,10,27,100,25,0
160,2021,1,2,29,230000,16,49,50,43,0
276,2021,0,2,22,58000,16,55,50,48,0
191,2021,0,2,38,21844,16,12,50,10,1
385,2022,3,2,17,132320,16,55,100,48,1
413,2022,2,2,17,45000,7,21,100,19,1
491,2022,2,2,44,75000,16,8,100,6,2
343,2022,1,2,30,167875,16,55,100,48,1
308,2022,2,2,12,126500,16,55,0,48,1
130,2021,0,2,37,100000,16,28,50,26,2
99,2021,2,2,11,81000,7,14,100,48,2
372,2022,3,2,38,164996,16,55,0,48,1
87,2021,2,2,13,110000,16,55,100,48,0
458,2022,2,2,8,1400000,10,27,100,25,1
330,2022,3,2,12,112900,16,55,100,48,1
214,2021,0,2,38,21000,7,14,50,12,1
466,2022,3,2,48,144000,16,55,50,48,0
121,2021,3,2,45,200000,16,55,100,48,1
20,2020,2,2,38,299000,5,11,0,9,1
71,2020,2,2,22,37000,7,19,50,17,2
106,2021,2,2,48,235000,2,8,100,6,0
270,2021,0,2,17,72500,16,55,100,48,0
435,2022,2,2,17,70000,8,20,100,18,1
102,2021,2,2,5,11000000,9,25,50,48,0
